name,description,price,price2,image_url,category
ABRILLANTADOR DE LLANTAS CLEAN TEC 1 LT,Descripcion del producto,84.24,0.00,public/images/cleantec-logo.png,Para Autos
ABRILLANTADOR EN GALON 3.75,Descripcion del producto,362.88,0.00,public/images/cleantec-logo.png,Para Autos
ABRILLANTADOR EN GALON CLEAN TEC,Descripcion del producto,375.73,0.00,public/images/cleantec-logo.png,Para Autos
ABRILLANTADOR DE INTERIORES,Descripcion del producto,102.06,0.00,public/images/cleantec-logo.png,Para Autos
ACIDO MURIATICO EN GALON,Descripcion del producto,145.15,0.00,public/images/cleantec-logo.png,Desinfectante
ACIDO MURIATICO SULTAN 900ML,Descripcion del producto,34.56,32.07,public/images/cleantec-logo.png,Desinfectante
ACIDO TIBOR PURO,Descripcion del producto,"4,816.38",0.00,public/images/cleantec-logo.png,Desinfectante
AGUA PURIFICADA 40/500,Descripcion del producto,136.31,0.00,public/images/cleantec-logo.png,Otros
AJAX LIQUIDO LIMON 5LT,Descripcion del producto,244.90,227.40,public/images/cleantec-logo.png,Limpieza
APLICADOR MULTIUSOS 2 PIEZAS,Descripcion del producto,19.66,0.00,public/images/cleantec-logo.png,Otros
ARIEL BLACK 8.5L,Descripcion del producto,375.30,0.00,public/images/cleantec-logo.png,Detergente
ARIEL PODS 3/1,Descripcion del producto,466.79,0.00,public/images/cleantec-logo.png,Detergente
ARIEL VIVID 8.5L,Descripcion del producto,335.34,0.00,public/images/cleantec-logo.png,Detergente
AROMATIZANTE AIR WICK,Descripcion del producto,485.52,450.84,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE AIR WICK,Descripcion del producto,460.00,450.36,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE AIR WICK COCONUT BERRIES,Descripcion del producto,485.03,0.00,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE AIR WICK DURAZNO/MANGO,Descripcion del producto,447.96,0.00,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE AIR WICK FLORES HAWA,Descripcion del producto,455.75,450.84,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE AIR WICK PANQUE NAVIDEÑO,Descripcion del producto,460.08,388.80,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE AMBIENTAL,Descripcion del producto,440.64,0.00,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE ARQUIM 500ML DARK,Descripcion del producto,196.56,182.52,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE ARQUIM BOUQUET 500ML,Descripcion del producto,213.84,199.80,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE ARQUIM CARRO NUEVO,Descripcion del producto,196.56,182.52,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE ARQUIM CEREZA,Descripcion del producto,196.56,182.52,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE ARQUIM CHICLE,Descripcion del producto,197.12,0.00,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE ARQUIM DRAKAR,Descripcion del producto,197.12,0.00,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE ARQUIM HUGO,Descripcion del producto,197.12,0.00,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE ARQUIM LIZ GARDEN,Descripcion del producto,197.12,0.00,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE ARQUIM MANZANA CANELA,Descripcion del producto,196.56,182.52,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE ARQUIM PIÑA MANGO,Descripcion del producto,197.12,0.00,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE ARQUIM TROPICAL,Descripcion del producto,197.12,0.00,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE ARQUIM VARIOS AROMAS 60ML,Descripcion del producto,50.54,0.00,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE EN AEROSOL GLADE (PERA),Descripcion del producto,64.09,62.14,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE FEBREZE HAWAIIAN ALOHA 250G,Descripcion del producto,88.80,104.94,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE FEBREZE LINEN & SKY,Descripcion del producto,105.85,104.94,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE FEBREZE OCEAN,Descripcion del producto,105.85,104.92,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE FRESH LEMON,Descripcion del producto,105.85,104.87,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE GLADE,Descripcion del producto,61.79,0.00,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE GLADE 227G,Descripcion del producto,53.71,49.86,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE GLADE MERRY CHERRY,Descripcion del producto,64.09,62.14,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE GLADE WINTER NIGTH,Descripcion del producto,64.09,62.14,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE HUELE MACHIN,Descripcion del producto,140.78,0.00,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE NICE FRESH BOUQUET,Descripcion del producto,161.46,0.00,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE NICE FRESH VARIOS AROMAS,Descripcion del producto,147.42,0.00,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE LAVANDA/LIRIOS,Descripcion del producto,485.03,0.00,public/images/cleantec-logo.png,Aromatizante
ATOMIZADOR DE 1/2 LITRO,Descripcion del producto,29.08,22.62,public/images/cleantec-logo.png,Otros
ATOMIZADOR DE 1 LITRO,Descripcion del producto,27.23,26.87,public/images/cleantec-logo.png,Otros
ATOMIZADOR GRIS 1LT,Descripcion del producto,68.31,0.00,public/images/cleantec-logo.png,Otros
AWESOME 32 OZ,Descripcion del producto,37.00,38.83,public/images/cleantec-logo.png,Otros
AZUCAR REFINADA 10/1 KG ZULKA,Descripcion del producto,385.32,0.00,public/images/cleantec-logo.png,Alimentos
BANDEJA DE HORNO OVALADA,Descripcion del producto,16.21,0.00,public/images/cleantec-logo.png,Otros
BANDEJA DE HORNO RECTANGULAR,Descripcion del producto,10.15,0.00,public/images/cleantec-logo.png,Otros
BASE CON LLANTAS,Descripcion del producto,"1,239.84","1,239.84",public/images/cleantec-logo.png,Otros
BASE METALICA 40CM,Descripcion del producto,114.31,106.14,public/images/cleantec-logo.png,Otros
BASE METALICA 60CM,Descripcion del producto,127.37,118.27,public/images/cleantec-logo.png,Otros
BASE METALICA 90CM,Descripcion del producto,136.61,127.36,public/images/cleantec-logo.png,Otros
BLANQUEADOR BLANCATEL GALON,Descripcion del producto,54.95,51.02,public/images/cleantec-logo.png,Detergente
BLANQUEADOR CLORALEX 10LT,Descripcion del producto,175.81,163.44,public/images/cleantec-logo.png,Detergente
BLANQUEADOR CLORALEX 500,Descripcion del producto,9.97,0.00,public/images/cleantec-logo.png,Detergente
BLANQUEADOR CLORALEX 950ML,Descripcion del producto,19.44,19.96,public/images/cleantec-logo.png,Detergente
BLANQUEADOR CLORALEX GALON,Descripcion del producto,56.13,53.04,public/images/cleantec-logo.png,Detergente
BLANQUEADOR CLORO AWESOME,Descripcion del producto,69.53,66.95,public/images/cleantec-logo.png,Detergente
BLANQUEADOR CLOROX 930ML,Descripcion del producto,16.56,14.55,public/images/cleantec-logo.png,Detergente
BLANQUEADOR MM 20 LITROS,Descripcion del producto,288.37,304.78,public/images/cleantec-logo.png,Detergente
BOLSA CAMISETA 500 PIEZAS,Descripcion del producto,202.61,0.00,public/images/cleantec-logo.png,Otros
BOLSA CAMISETA C/500,Descripcion del producto,190.94,0.00,public/images/cleantec-logo.png,Otros
BOLSA DE ROLLO NEGRA 55 GAL C/100,Descripcion del producto,153.44,568.08,public/images/cleantec-logo.png,Bolsas
BOLSA DE ROLLO 11X14,Descripcion del producto,60.60,56.27,public/images/cleantec-logo.png,Bolsas
BOLSA DE ROLLO 11X14,Descripcion del producto,218.70,0.00,public/images/cleantec-logo.png,Bolsas
BOLSA DE ROLLO 6X10,Descripcion del producto,33.52,31.13,public/images/cleantec-logo.png,Bolsas
BOLSA DE ROLLO 8X12,Descripcion del producto,39.93,37.08,public/images/cleantec-logo.png,Bolsas
BOLSA DE ROLLO DE 60 GALONES NEGRA,Descripcion del producto,165.96,158.63,public/images/cleantec-logo.png,Bolsas
BOLSA DE ROLLO LINEA VERDE 11X14,Descripcion del producto,227.67,0.00,public/images/cleantec-logo.png,Bolsas
BOLSA NEGRA 12/16,Descripcion del producto,38.04,35.32,public/images/cleantec-logo.png,Bolsas
BOLSA PARA BASURA 60GL NEGRA,Descripcion del producto,596.60,634.02,public/images/cleantec-logo.png,Bolsas
BOLSA PARA BASURA NEGRA 33GL,Descripcion del producto,101.53,407.27,public/images/cleantec-logo.png,Bolsas
BOTE DE PLASTICO ABIERTO O CERRADO DE 200LTS,Descripcion del producto,308.88,285.98,public/images/cleantec-logo.png,Otros
BOTE DE PLASTICO CON TAPA,Descripcion del producto,240.50,0.00,public/images/cleantec-logo.png,Otros
BOTE PARA BASURA NEGRO,Descripcion del producto,101.53,0.00,public/images/cleantec-logo.png,Otros
BOTE RUBBERMAID,Descripcion del producto,"1,974.67","1,974.67",public/images/cleantec-logo.png,Otros
BROCHES 30 PIEZAS,Descripcion del producto,40.17,37.30,public/images/cleantec-logo.png,Otros
CAFE MOLIDO FOLGERS 1.23,Descripcion del producto,678.50,410.40,public/images/cleantec-logo.png,Alimentos
CAJA DE PLASTICO CON TAPA GRANDE,Descripcion del producto,356.48,0.00,public/images/cleantec-logo.png,Otros
CARRITO AMARILLO CON EXPRIMIDOR,Descripcion del producto,"1,244.38",0.00,public/images/cleantec-logo.png,Otros
CARRITO ESTANDAR PARA EL ASEO,Descripcion del producto,"1,503.36",0.00,public/images/cleantec-logo.png,Otros
CEPILLO CERDA SUAVE GRIS 24,Descripcion del producto,310.85,306.06,public/images/cleantec-logo.png,Limpieza
CEPILLO HD9 CALI,Descripcion del producto,186.18,0.00,public/images/cleantec-logo.png,Limpieza
CEPILLO LAVA CARRO COMPLETO,Descripcion del producto,146.97,136.47,public/images/cleantec-logo.png,Limpieza
"CEPILLO NEGRO SEMIDURO ""18""",Descripcion del producto,277.60,257.77,public/images/cleantec-logo.png,Limpieza
CEPILLO PARA LLANTAS HD9,Descripcion del producto,22.86,21.22,public/images/cleantec-logo.png,Limpieza
CEPILLO SANITARIO CON TAZON,Descripcion del producto,39.24,36.39,public/images/cleantec-logo.png,Limpieza
CEPILLO TIPO PLANCHA,Descripcion del producto,17.96,16.38,public/images/cleantec-logo.png,Limpieza
CERA PARA MUEBLES LEMON FURNITURE,Descripcion del producto,45.36,0.00,public/images/cleantec-logo.png,Otros
CESTO PARA BASURA,Descripcion del producto,191.14,0.00,public/images/cleantec-logo.png,Otros
CHAROLA 6X6 500 PIEZAS,Descripcion del producto,491.40,0.00,public/images/cleantec-logo.png,Otros
CHAROLA 8X8 BLANCA,Descripcion del producto,203.58,0.00,public/images/cleantec-logo.png,Otros
CHAROLA DE PLASTICO NEGRA,Descripcion del producto,673.92,0.00,public/images/cleantec-logo.png,Otros
CHAROLA TERMICA #066,Descripcion del producto,220.00,203.04,public/images/cleantec-logo.png,Otros
CHAROLA TERMICA 855,Descripcion del producto,31.03,297.00,public/images/cleantec-logo.png,Otros
CONGA 41 LITROS,Descripcion del producto,401.76,0.00,public/images/cleantec-logo.png,Otros
CONGA DE 40 LITROS CON TAPA,Descripcion del producto,249.75,0.00,public/images/cleantec-logo.png,Otros
CONGA DE 55 GALONES,Descripcion del producto,484.27,0.00,public/images/cleantec-logo.png,Otros
COTONELLE SOOM,Descripcion del producto,498.15,0.00,public/images/cleantec-logo.png,Papel
CREMA COFFE MATTE,Descripcion del producto,204.83,0.00,public/images/cleantec-logo.png,Alimentos
CUBETA BLANCA CUADRADA,Descripcion del producto,35.21,0.00,public/images/cleantec-logo.png,Limpieza
CUBETA FLEXIBLE #10,Descripcion del producto,71.85,66.71,public/images/cleantec-logo.png,Limpieza
CUBETA FLEXIBLE #16,Descripcion del producto,112.67,104.62,public/images/cleantec-logo.png,Limpieza
CUBETA FLEXIBLE #8,Descripcion del producto,37.56,35.55,public/images/cleantec-logo.png,Limpieza
CUBRE BOCA TRICAPA,Descripcion del producto,54.14,52.50,public/images/cleantec-logo.png,Equipos de protección
CUCHARA CAFETERA,Descripcion del producto,16.17,15.55,public/images/cleantec-logo.png,Otros
CUCHARA PRIME LINE PAQUETE CON 100,Descripcion del producto,177.61,197.64,public/images/cleantec-logo.png,Otros
DESENGRASANTE AWESOME 128OZ,Descripcion del producto,125.43,0.00,public/images/cleantec-logo.png,Limpieza
DESENGRASANTE CAFE INDUSTRIAL 1LTS,Descripcion del producto,60.48,0.00,public/images/cleantec-logo.png,Limpieza
DESENGRASANTE CONCENTRADO,Descripcion del producto,953.04,0.00,public/images/cleantec-logo.png,Limpieza
DESENGRASANTE CONCENTRADO GALON HEAVY DUTY,Descripcion del producto,129.47,0.00,public/images/cleantec-logo.png,Limpieza
DESENGRASANTE CONCENTRADO MM 10L,Descripcion del producto,357.75,297.90,public/images/cleantec-logo.png,Limpieza
DESENGRASANTE MULTIUSOS REAL CELAN 10 LT,Descripcion del producto,369.70,343.29,public/images/cleantec-logo.png,Limpieza
DESENGRASANTE POWEROSO 946ML,Descripcion del producto,34.88,33.53,public/images/cleantec-logo.png,Limpieza
DESENGRASANTE QUICK POWER 1LTS,Descripcion del producto,45.36,0.00,public/images/cleantec-logo.png,Limpieza
DESENGRASANTE REAL CLEAN 20LTS,Descripcion del producto,939.60,0.00,public/images/cleantec-logo.png,Limpieza
DESPACAHDOR DE HIGIENICO JR,Descripcion del producto,326.59,0.00,public/images/cleantec-logo.png,Otros
DESPACHADOR PARA TOALLA INTERDOBLADA,Descripcion del producto,331.70,0.00,public/images/cleantec-logo.png,Otros
DESPACAÑOS PALMA,Descripcion del producto,34.29,31.84,public/images/cleantec-logo.png,Limpieza
DETERGENTE ACE,Descripcion del producto,393.86,365.72,public/images/cleantec-logo.png,Detergente
DETERGENTE ARIEL 500GR,Descripcion del producto,26.24,0.00,public/images/cleantec-logo.png,Detergente
DETERGENTE DOWNY,Descripcion del producto,370.12,0.00,public/images/cleantec-logo.png,Detergente
DETERGENTE DOWNY BOTANICALS FRUITY,Descripcion del producto,306.18,0.00,public/images/cleantec-logo.png,Detergente
DETERGENTE DOWNY CONCENTRADO,Descripcion del producto,352.18,0.00,public/images/cleantec-logo.png,Detergente
DETERGENTE EN POLVO ARCOIRIS 9KG,Descripcion del producto,289.48,342.36,public/images/cleantec-logo.png,Detergente
DETERGENTE EN POLVO FOCA 250GR,Descripcion del producto,12.00,0.00,public/images/cleantec-logo.png,Detergente
DETERGENTE EN POLVO FOCA 500G,Descripcion del producto,22.41,21.64,public/images/cleantec-logo.png,Detergente
DETERGENTE EN POLVO GREAT VALUE 5KG,Descripcion del producto,120.96,112.32,public/images/cleantec-logo.png,Detergente
DETERGENTE EN POLVO MAESTRO LIMPIO,Descripcion del producto,362.60,0.00,public/images/cleantec-logo.png,Detergente
DETERGENTE EN POLVO ROMA 10KG,Descripcion del producto,427.04,0.00,public/images/cleantec-logo.png,Detergente
DETERGENTE EN POLVO ROMA 1KG,Descripcion del producto,55.76,51.78,public/images/cleantec-logo.png,Detergente
DETERGENTE EN POLVO BLANCA NIEVES 1KG,Descripcion del producto,42.40,41.75,public/images/cleantec-logo.png,Detergente
DETERGENTE FOCA 1KG,Descripcion del producto,42.48,0.00,public/images/cleantec-logo.png,Detergente
DETERGENTE LIQUIDO CARISMA 500ML,Descripcion del producto,18.52,0.00,public/images/cleantec-logo.png,Detergente
DETERGENTE LIQUIDO ARCOIRIS 1L,Descripcion del producto,31.32,0.00,public/images/cleantec-logo.png,Detergente
DETERGENTE LIQUIDO ACROIRIS PARA TODO TIPO DE ROPA,Descripcion del producto,28.43,0.00,public/images/cleantec-logo.png,Detergente
DETERGENTE LIQUIDO ARCOIRIS ROPA OSCURA,Descripcion del producto,25.22,0.00,public/images/cleantec-logo.png,Detergente
DETERGENTE LIQUIDO ARIEL 8.5LT,Descripcion del producto,448.77,432.15,public/images/cleantec-logo.png,Detergente
DETERGENTE LIQUIDO BLANCA NIEVES,Descripcion del producto,18.52,0.00,public/images/cleantec-logo.png,Detergente
DETERGENTE LIQUIDO CARISMA,Descripcion del producto,42.12,0.00,public/images/cleantec-logo.png,Detergente
DETERGENTE LIQUIDO COLOR Y BLANCOS,Descripcion del producto,320.85,0.00,public/images/cleantec-logo.png,Detergente
DETERGENTE LIQUIDO FOCA 1LT,Descripcion del producto,47.39,44.00,public/images/cleantec-logo.png,Detergente
DETERGENTE LIQUIDO FOCA 3.75,Descripcion del producto,147.80,0.00,public/images/cleantec-logo.png,Detergente
DETERGENTE LIQUIDO FOCA 500ML,Descripcion del producto,18.52,0.00,public/images/cleantec-logo.png,Detergente
DETERGENTE LIQUIDO FOCA 8LTS,Descripcion del producto,369.07,0.00,public/images/cleantec-logo.png,Detergente
DETERGENTE LIQUIDO MAS COLOR BCO 9L,Descripcion del producto,397.25,382.53,public/images/cleantec-logo.png,Detergente
DETERGENTE LIQUIDO ROMA,Descripcion del producto,18.52,0.00,public/images/cleantec-logo.png,Detergente
DETERGENTE LIQUIDO ROMA 1LITRO,Descripcion del producto,42.58,0.00,public/images/cleantec-logo.png,Detergente
DETERGENTE ROPA DE COLOR MM 20L,Descripcion del producto,614.95,0.00,public/images/cleantec-logo.png,Detergente
DETERGENTE SUAVITEL COMPLETE 8.5LT,Descripcion del producto,361.35,335.53,public/images/cleantec-logo.png,Detergente
DISPENSADOR DE TOALLA,Descripcion del producto,476.93,0.00,public/images/cleantec-logo.png,Otros
ELIMINADOR DE OLORES ODOBAN,Descripcion del producto,212.42,0.00,public/images/cleantec-logo.png,Limpieza
ENCENDEDOR BIC 15 PIEZAS,Descripcion del producto,20.21,0.00,public/images/cleantec-logo.png,Otros
ENDULZANTE ESPLENDA 600 PIEZAS,Descripcion del producto,356.65,0.00,public/images/cleantec-logo.png,Alimentos
ENSUEÑO 9LT,Descripcion del producto,339.85,335.11,public/images/cleantec-logo.png,Suavizante
ENSUEÑO FRESCURA AZUL 740ML,Descripcion del producto,28.47,0.00,public/images/cleantec-logo.png,Suavizante
ENSUEÑO ULTRA 740ML FRESCO VERANO,Descripcion del producto,28.47,0.00,public/images/cleantec-logo.png,Suavizante
ESCOBA MARIEL MEDIANA,Descripcion del producto,41.97,41.97,public/images/cleantec-logo.png,Limpieza
ESPONJA LAVA TRASTES SCOTH BRITE,Descripcion del producto,25.27,0.00,public/images/cleantec-logo.png,Limpieza
ESPONJA MULTIUSOS CLOROX,Descripcion del producto,15.88,0.00,public/images/cleantec-logo.png,Limpieza
ESPONJA MULTIUSOS COLORES,Descripcion del producto,17.96,16.68,public/images/cleantec-logo.png,Limpieza
ESTROPAJO GALVANIZADO CHICO,Descripcion del producto,7.83,7.27,public/images/cleantec-logo.png,Limpieza
ESTROPAJO GALVANIZADO GRANDE,Descripcion del producto,11.91,11.06,public/images/cleantec-logo.png,Limpieza
FABULOSO BRISA PRIMAVERAL 2L,Descripcion del producto,54.00,0.00,public/images/cleantec-logo.png,Limpieza
FABULOSO COLECCION ZEN 10L,Descripcion del producto,308.88,0.00,public/images/cleantec-logo.png,Limpieza
FABULOSO MAR FRESCO 12,Descripcion del producto,35.71,0.00,public/images/cleantec-logo.png,Limpieza
FIBRA ESPIRAL,Descripcion del producto,4.81,4.17,public/images/cleantec-logo.png,Limpieza
FIBRA ESPIRAL GR50,Descripcion del producto,17.63,16.36,public/images/cleantec-logo.png,Limpieza
FIBRA ESPONJA CLOROX,Descripcion del producto,20.67,20.36,public/images/cleantec-logo.png,Limpieza
FIBRA VERDE CON ESPONJA,Descripcion del producto,7.67,7.12,public/images/cleantec-logo.png,Limpieza
FIBRA VERDE SCOTCH BRITE P96,Descripcion del producto,20.70,0.00,public/images/cleantec-logo.png,Limpieza
FILMICO 5 PULGADOS,Descripcion del producto,87.07,0.00,public/images/cleantec-logo.png,Otros
"FLEJE ANCHO 5""60",Descripcion del producto,120.46,0.00,public/images/cleantec-logo.png,Otros
FOCA LIQUIDO 4.3 LITROS,Descripcion del producto,152.89,0.00,public/images/cleantec-logo.png,Detergente
